label,score
1,0.09470645
1,0.07923508
1,0.08361841
1,0.08772922
1,0.09838250
1,0.06053843
1,0.07942405
1,0.07391249
1,0.09622213
1,0.08746618
1,0.09263624
1,0.09279834
1,0.08196636
1,0.05873814
1,0.08780343
1,0.08822861
1,0.08613200
1,0.08610409
1,0.08255289
1,0.06654739
1,0.07802230
1,0.05520226
1,0.06815997
1,0.07933925
1,0.08053378
1,0.06483193
1,0.08373336
1,0.09414140
1,0.08019862
1,0.08432680
1,0.08307742
1,0.09974834
1,0.09978601
1,0.08377900
1,0.08970536
1,0.10706116
1,0.11345167
1,0.08281095
1,0.08651486
1,0.08520713
1,0.05686044
1,0.08972836
1,0.09542762
1,0.08961974
1,0.07543561
1,0.08557452
1,0.07687546
1,0.05603807
1,0.08840499
1,0.07258768
1,0.06253085
1,0.09726649
1,0.08700160
1,0.09125871
1,0.07189321
1,0.10506529
1,0.08003213
1,0.09959795
1,0.09861665
1,0.08892077
1,0.08362076
1,0.08672623
1,0.08394006
1,0.09510982
1,0.09331547
1,0.08970056
1,0.07239720
1,0.07877233
1,0.09340420
1,0.09573860
1,0.08690579
1,0.06748012
1,0.08750656
1,0.09550449
1,0.10299577
1,0.09300390
1,0.07420751
1,0.09812631
1,0.08490992
1,0.07424094
1,0.08229408
1,0.05730027
1,0.06356597
1,0.08935470
1,0.08928567
1,0.09128319
1,0.08919040
1,0.08015061
1,0.10151964
1,0.09327167
1,0.09412675
1,0.07832933
1,0.04994696
1,0.09116832
1,0.09167990
1,0.06894065
1,0.08762550
1,0.07302123
1,0.08297773
1,0.09410472
1,0.09032992
1,0.07426995
1,0.09371896
1,0.08886757
1,0.07524175
1,0.08371326
1,0.08380407
1,0.10137065
1,0.10503924
1,0.09727356
1,0.08869983
1,0.08681352
1,0.09225585
1,0.10381402
1,0.07928755
1,0.09220719
1,0.08701237
1,0.09273265
1,0.08203620
1,0.09124588
1,0.08259135
1,0.09260948
1,0.07963555
1,0.07994275
1,0.07717322
1,0.07309388
1,0.08577403
1,0.07676277
1,0.07895694
1,0.07625614
1,0.08278570
1,0.08766641
1,0.10153106
1,0.09110183
1,0.09040862
1,0.09817331
1,0.09728044
1,0.06970845
1,0.09660850
1,0.09860600
1,0.08535969
1,0.08446455
1,0.05927417
1,0.08392748
1,0.07354489
1,0.08491527
1,0.09635780
1,0.08348802
1,0.10231585
1,0.09192477
1,0.07751162
1,0.08447544
1,0.06882608
1,0.07171127
1,0.09567950
1,0.08908879
1,0.08640615
1,0.09090489
1,0.08268907
1,0.08245736
1,0.08081981
1,0.09374762
1,0.09208345
1,0.07726416
1,0.08427466
1,0.06919982
1,0.09590397
1,0.08782799
1,0.08055028
1,0.08457848
1,0.08720882
1,0.07601754
1,0.10788687
1,0.08736327
1,0.09626441
1,0.09063728
1,0.07508446
1,0.07868005
1,0.08601166
1,0.10255554
1,0.11088802
1,0.07647061
1,0.09119876
1,0.07975203
1,0.08909185
1,0.07972503
1,0.07433146
1,0.10277377
1,0.08298419
1,0.09163018
1,0.07826161
1,0.06999746
1,0.08976097
1,0.07664285
1,0.09236127
1,0.08289334
1,0.06711817
1,0.05817588
1,0.08217104
1,0.08274186
